index,age,race,sex,education,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,y
55,43, Black, Female, HS-grad,a_2,b_7,c_5,d_38,e_4,122975,9,0,0,21,0
56,32, White, Female, HS-grad,a_4,b_6,c_1,d_39,e_4,101283,9,0,0,35,0
57,57, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,301514,9,0,0,40,0
58,49, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,281647,14,0,0,45,1
59,23, White, Female, Some-college,a_4,b_1,c_1,d_39,e_4,288771,10,0,0,30,0
60,35, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_6,278632,9,0,0,40,0
61,51, White, Female, Some-college,a_0,b_10,c_1,d_39,e_7,194475,10,0,0,40,0
62,53, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_1,68985,9,0,0,40,0
63,25, White, Female, HS-grad,a_2,b_0,c_5,d_39,e_0,344719,9,0,0,4,0
64,20, White, Female, Some-college,a_4,b_4,c_3,d_39,e_4,85041,10,0,0,20,0
65,43, White, Male, Assoc-voc,a_2,b_3,c_0,d_39,e_4,373403,11,0,0,40,0
66,24, White, Male, HS-grad,a_2,b_7,c_0,d_39,e_4,275395,9,0,0,50,0
67,51, White, Female, Bachelors,a_0,b_10,c_1,d_39,e_4,357949,13,0,0,16,0
68,27, Black, Male, HS-grad,a_4,b_1,c_3,d_39,e_4,297457,9,0,0,40,0
69,60, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_2,124987,13,7298,0,40,1
70,37, White, Male, Masters,a_2,b_11,c_0,d_39,e_2,99935,14,7688,0,50,1
71,17, White, Male, 10th,a_4,b_8,c_3,d_2,e_4,365613,6,0,0,10,0
72,23, White, Male, HS-grad,a_2,b_8,c_0,d_39,e_4,27776,9,0,0,40,0
73,37, White, Female, Some-college,a_0,b_13,c_4,d_39,e_4,166339,10,0,0,40,0
74,23, Other, Male, Some-college,a_4,b_4,c_3,d_29,e_4,481175,10,0,0,24,0
75,30, White, Male, HS-grad,a_2,b_7,c_0,d_39,e_4,91145,9,0,0,40,0
76,56, White, Male, Some-college,a_2,b_7,c_0,d_39,e_4,178202,10,0,0,40,0
77,35, Amer-Indian-Eskimo, Male, Some-college,a_4,b_7,c_2,d_39,e_4,197719,10,0,0,40,0
78,21, White, Male, Some-college,a_4,b_8,c_3,d_39,e_4,300812,10,0,0,25,0
79,31, White, Female, HS-grad,a_0,b_7,c_4,d_39,e_4,243142,9,0,0,40,0
80,46, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_7,248895,13,0,0,40,1
81,33, Black, Female, Some-college,a_4,b_4,c_1,d_39,e_4,123920,10,0,0,40,0
82,41, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,35166,15,15024,0,50,1
83,40, White, Male, HS-grad,a_3,b_6,c_1,d_31,e_4,149102,9,2174,0,60,0
84,33, White, Male, Masters,a_4,b_4,c_1,d_39,e_4,100882,14,0,0,40,1
85,41, White, Female, 5th-6th,a_3,b_9,c_1,d_26,e_4,235167,3,0,0,32,0
86,35, White, Male, HS-grad,a_2,b_14,c_0,d_39,e_4,201328,9,0,0,50,0
87,26, Asian-Pac-Islander, Male, HS-grad,a_2,b_11,c_0,d_39,e_7,70447,9,0,0,40,1
88,30, White, Male, Assoc-acdm,a_0,b_12,c_1,d_39,e_4,255004,12,0,0,52,0
89,31, White, Male, Assoc-voc,a_2,b_10,c_0,d_39,e_4,73585,11,0,0,45,0
90,25, White, Male, 9th,a_2,b_6,c_0,d_39,e_4,135568,5,0,0,40,0
91,43, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_5,33729,13,0,0,45,1
92,28, White, Male, HS-grad,a_2,b_7,c_0,d_39,e_4,346406,9,0,1672,50,0
93,38, White, Female, Some-college,a_0,b_12,c_3,d_39,e_4,252897,10,0,0,25,0
94,31, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,340880,15,0,0,60,1
95,26, Black, Male, Bachelors,a_4,b_10,c_3,d_9,e_2,220656,13,0,0,38,0
96,33, White, Male, 10th,a_5,b_6,c_1,d_39,e_4,100154,6,0,0,40,0
97,47, White, Male, HS-grad,a_2,b_12,c_0,d_39,e_4,168195,9,0,0,55,0
98,40, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,138975,9,0,0,56,0
99,31, White, Male, HS-grad,a_0,b_3,c_1,d_39,e_6,113364,9,0,0,60,0
100,17, White, Female, 10th,a_4,b_8,c_3,d_39,e_4,25690,6,0,0,10,0
101,33, White, Male, Some-college,a_2,b_11,c_0,d_39,e_2,154874,10,0,0,40,0
102,39, White, Male, Some-college,a_0,b_8,c_1,d_39,e_4,509060,10,0,0,40,0
103,32, White, Male, HS-grad,a_4,b_7,c_4,d_39,e_4,174789,9,0,0,40,0
104,39, White, Male, Some-college,a_4,b_3,c_1,d_39,e_4,187847,10,0,0,40,0
105,51, White, Male, Assoc-voc,a_2,b_3,c_0,d_39,e_4,99064,11,5013,0,40,0
106,24, White, Female, Assoc-acdm,a_4,b_1,c_3,d_39,e_4,169532,12,0,0,15,0
107,28, White, Female, Assoc-voc,a_5,b_0,c_4,d_26,e_0,196630,11,0,0,40,0
108,26, White, Male, Some-college,a_2,b_3,c_0,d_39,e_6,86646,10,0,0,45,0
109,20, White, Female, HS-grad,a_4,b_1,c_1,d_39,e_2,526734,9,0,0,30,0
110,44, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_6,282722,15,99999,0,50,1
111,35, Black, Female, HS-grad,a_5,b_14,c_4,d_39,e_4,219902,9,0,0,48,0
112,26, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,275703,10,0,0,40,0
113,31, White, Female, Assoc-voc,a_4,b_8,c_4,d_39,e_4,225507,11,0,0,40,0
114,26, White, Male, Some-college,a_4,b_1,c_3,d_39,e_4,354784,10,0,0,20,0
115,32, Black, Female, Bachelors,a_0,b_4,c_4,d_39,e_6,267161,13,0,0,30,0
116,39, White, Male, HS-grad,a_0,b_1,c_1,d_39,e_4,128715,9,10520,0,40,1
117,33, White, Male, Assoc-acdm,a_2,b_11,c_0,d_39,e_4,33117,12,0,0,40,0
118,22, Asian-Pac-Islander, Female, Some-college,a_4,b_0,c_3,d_35,e_0,31102,10,0,0,4,0
119,27, White, Female, 5th-6th,a_4,b_9,c_2,d_8,e_4,177955,3,2176,0,40,0
120,54, White, Male, Some-college,a_2,b_3,c_0,d_39,e_4,143822,10,0,0,45,1
121,40, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,79531,13,0,0,75,1
122,21, White, Male, HS-grad,a_4,b_8,c_3,d_39,e_4,219086,9,0,0,35,0
123,30, White, Male, HS-grad,a_2,b_11,c_0,d_39,e_4,203277,9,0,0,60,1
124,48, White, Female, Some-college,a_6,b_1,c_4,d_39,e_4,232840,10,0,0,43,0
125,32, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,152940,10,0,0,40,1
126,48, White, Male, 10th,a_2,b_12,c_0,d_39,e_4,377757,6,0,0,70,0
127,39, Black, Female, Assoc-voc,a_0,b_4,c_4,d_39,e_4,255027,11,0,0,40,0
128,35, White, Female, 12th,a_5,b_8,c_1,d_39,e_4,107160,8,0,0,30,0
129,38, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,219546,13,0,0,40,1
130,44, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,307468,15,0,0,29,1
131,25, Asian-Pac-Islander, Male, Bachelors,a_4,b_12,c_3,d_40,e_4,139012,13,2174,0,40,0
132,35, White, Female, HS-grad,a_4,b_0,c_1,d_39,e_0,476573,9,0,0,4,0
133,57, Amer-Indian-Eskimo, Female, HS-grad,a_5,b_12,c_1,d_39,e_4,29375,9,0,0,35,0
134,43, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,152629,9,0,0,40,1
135,58, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_6,118253,9,0,0,70,0
136,22, White, Female, Some-college,a_4,b_6,c_3,d_39,e_4,207940,10,0,0,36,0
137,25, White, Female, HS-grad,a_2,b_1,c_5,d_39,e_4,158662,9,0,0,50,1
138,31, White, Male, Some-college,a_4,b_1,c_2,d_39,e_4,91964,10,0,0,40,0
139,54, White, Male, Some-college,a_2,b_4,c_0,d_39,e_4,343242,10,0,0,44,1
140,19, White, Male, Some-college,a_4,b_1,c_3,d_39,e_4,183258,10,0,0,40,0
141,25, White, Male, Bachelors,a_2,b_1,c_0,d_39,e_2,227886,13,0,0,40,0
142,51, White, Male, 10th,a_3,b_3,c_2,d_39,e_4,210736,6,0,0,40,0
143,56, White, Female, Masters,a_2,b_4,c_5,d_39,e_4,158752,14,0,0,50,0
144,41, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,153031,10,0,0,65,1
145,21, White, Female, Some-college,a_4,b_12,c_3,d_39,e_4,189013,10,0,0,35,0
146,27, White, Male, 5th-6th,a_4,b_5,c_4,d_13,e_4,150958,3,0,0,48,0
147,34, Black, Female, 12th,a_5,b_0,c_4,d_39,e_0,133278,8,0,0,53,0
148,40, White, Female, 9th,a_0,b_0,c_4,d_5,e_0,224361,5,0,0,5,0
149,32, White, Male, Assoc-acdm,a_4,b_12,c_1,d_39,e_6,319280,12,0,0,80,0
150,57, White, Male, 7th-8th,a_0,b_8,c_1,d_39,e_2,323309,4,0,0,40,0
151,22, White, Female, HS-grad,a_4,b_8,c_1,d_39,e_4,210474,9,0,0,40,0
152,35, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_4,156728,9,0,0,40,0
153,33, Black, Female, Assoc-voc,a_4,b_10,c_4,d_39,e_4,236818,11,0,0,26,0
154,38, White, Male, Some-college,a_0,b_3,c_1,d_39,e_4,278924,10,0,0,44,0
155,20, White, Male, HS-grad,a_4,b_6,c_3,d_39,e_4,247564,9,0,0,35,0
156,51, White, Female, 9th,a_5,b_8,c_2,d_39,e_2,114508,5,0,0,40,0
157,50, White, Male, Assoc-acdm,a_2,b_7,c_0,d_39,e_6,156951,12,3103,0,40,1
158,20, White, Male, Some-college,a_4,b_14,c_1,d_39,e_4,231981,10,0,0,32,0
159,38, White, Male, Bachelors,a_4,b_8,c_1,d_39,e_4,195744,13,0,0,48,0
160,31, White, Female, HS-grad,a_0,b_1,c_4,d_39,e_4,51471,9,0,0,38,0
161,17, White, Male, 10th,a_4,b_5,c_3,d_39,e_6,181317,6,0,0,35,0
162,59, Black, Female, 10th,a_6,b_8,c_4,d_39,e_2,171328,6,0,0,30,0
163,71, White, Male, 10th,a_2,b_3,c_0,d_39,e_6,238479,6,0,0,8,0
164,33, White, Male, Masters,a_2,b_10,c_0,d_39,e_4,594187,14,0,0,45,1
165,36, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_5,180419,9,0,0,45,0
166,30, Black, Male, HS-grad,a_4,b_5,c_3,d_39,e_4,124187,9,0,0,60,0
167,58, White, Male, Masters,a_0,b_12,c_1,d_39,e_6,164065,14,0,0,18,0
168,30, White, Male, Bachelors,a_4,b_10,c_1,d_20,e_4,158420,13,0,0,50,0
169,25, Asian-Pac-Islander, Female, 9th,a_3,b_1,c_4,d_40,e_4,150553,5,0,0,40,0
170,40, White, Male, Some-college,a_2,b_7,c_0,d_39,e_4,212847,10,0,2179,40,0
171,48, White, Female, Assoc-acdm,a_0,b_4,c_4,d_39,e_4,46677,12,0,0,42,0
172,19, White, Male, Some-college,a_4,b_12,c_1,d_39,e_4,184207,10,0,0,40,0
173,47, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_4,362835,13,0,0,60,1
174,24, White, Male, Bachelors,a_4,b_0,c_3,d_39,e_0,283731,13,0,0,40,0
175,42, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,261929,13,7688,0,40,1
176,40, White, Female, Assoc-voc,a_5,b_3,c_1,d_39,e_4,336707,11,0,0,60,0
177,42, White, Male, Masters,a_4,b_4,c_1,d_39,e_4,210525,14,0,0,40,0
178,29, White, Male, Assoc-voc,a_2,b_3,c_0,d_39,e_1,339002,11,0,0,40,1
179,21, White, Male, HS-grad,a_4,b_5,c_1,d_39,e_4,83141,9,0,0,53,0
180,25, White, Male, 5th-6th,a_2,b_6,c_3,d_39,e_4,218667,3,0,0,40,0
181,53, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_6,240138,9,0,0,60,0
182,41, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_4,268183,15,0,0,45,1
183,38, White, Male, Some-college,a_0,b_4,c_1,d_39,e_4,22245,10,0,0,50,0
184,48, White, Male, Masters,a_0,b_11,c_1,d_39,e_7,49595,14,0,0,72,0
185,22, White, Male, HS-grad,a_4,b_8,c_3,d_39,e_4,237498,9,0,0,40,0
186,54, Black, Male, Some-college,a_2,b_6,c_0,d_39,e_4,163894,10,0,0,40,0
187,50, White, Male, Masters,a_2,b_12,c_0,d_39,e_6,68898,14,7688,0,55,1
188,43, White, Male, Masters,a_2,b_10,c_0,d_39,e_2,36924,14,0,0,40,1
189,41, White, Male, Bachelors,a_4,b_3,c_1,d_39,e_4,120277,13,0,0,40,0
190,34, White, Male, Some-college,a_4,b_1,c_1,d_39,e_4,316470,10,0,0,40,0
191,35, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,189922,9,0,0,40,0
192,58, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,49893,10,0,0,45,0
193,28, White, Male, 11th,a_2,b_3,c_1,d_39,e_4,410216,7,0,0,60,1
194,69, White, Male, Prof-school,a_2,b_1,c_0,d_39,e_7,50468,15,0,0,34,1
195,42, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,511068,13,7688,0,40,1
196,42, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,203554,14,0,0,60,1
197,85, White, Female, HS-grad,a_6,b_12,c_1,d_39,e_6,166027,9,0,0,50,0
198,32, White, Male, Some-college,a_0,b_3,c_4,d_39,e_4,46746,10,0,0,40,0
199,23, Black, Male, HS-grad,a_4,b_1,c_3,d_39,e_4,213955,9,0,2001,40,0
200,28, White, Male, HS-grad,a_0,b_1,c_1,d_39,e_4,411950,9,0,0,40,0
201,36, White, Female, HS-grad,a_0,b_1,c_4,d_39,e_4,309122,9,0,0,35,0
202,34, White, Female, Some-college,a_4,b_1,c_3,d_39,e_4,269243,10,0,0,40,0
203,44, White, Male, Some-college,a_4,b_5,c_3,d_39,e_6,27242,10,0,0,60,0
204,59, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_4,328525,9,2414,0,15,0
205,22, Asian-Pac-Islander, Female, Some-college,a_4,b_3,c_2,d_40,e_4,117747,10,0,0,40,0
206,28, Black, Female, 9th,a_2,b_11,c_5,d_39,e_4,190350,5,0,0,40,0
207,57, White, Female, Some-college,a_2,b_3,c_5,d_39,e_4,334224,10,9386,0,40,1
208,46, Black, Female, HS-grad,a_4,b_8,c_1,d_39,e_7,312015,9,0,0,40,0
209,23, White, Male, 9th,a_3,b_3,c_1,d_26,e_4,155919,5,0,0,40,0
210,65, White, Female, Some-college,a_6,b_1,c_1,d_39,e_4,129426,10,0,0,40,0
211,38, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,176101,13,0,0,40,0
212,38, White, Male, Bachelors,a_2,b_3,c_0,d_39,e_2,210991,13,0,1740,40,0
213,38, Asian-Pac-Islander, Male, Bachelors,a_2,b_10,c_0,d_19,e_7,125499,13,7688,0,60,1
214,66, White, Male, 10th,a_2,b_11,c_0,d_39,e_4,263637,6,0,0,40,0
215,36, Black, Female, Some-college,a_5,b_1,c_4,d_39,e_1,930948,10,6497,0,56,0
216,47, White, Female, Masters,a_2,b_10,c_5,d_39,e_6,84735,14,0,0,20,1
217,70, White, Male, HS-grad,a_2,b_0,c_0,d_39,e_0,133248,9,0,0,14,0
218,59, White, Male, Some-college,a_2,b_12,c_0,d_39,e_4,146013,10,4064,0,40,0
219,48, White, Male, Some-college,a_0,b_4,c_1,d_39,e_4,190072,10,0,0,50,1
220,63, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_6,106551,9,0,0,40,0
221,19, White, Male, 7th-8th,a_4,b_3,c_3,d_39,e_4,93604,4,0,1602,32,0
222,59, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,193335,9,0,0,40,1
223,24, White, Male, HS-grad,a_4,b_12,c_1,d_39,e_4,153082,9,0,0,30,0
224,19, White, Female, Some-college,a_4,b_1,c_3,d_39,e_4,208656,10,594,0,20,0
225,72, White, Male, Some-college,a_2,b_3,c_0,d_39,e_6,203289,10,0,0,35,0
226,29, White, Male, 12th,a_2,b_14,c_0,d_39,e_4,133136,8,0,0,40,1
227,46, White, Male, 5th-6th,a_2,b_7,c_0,d_26,e_4,216666,3,0,0,40,0
228,36, White, Male, Masters,a_2,b_4,c_0,d_39,e_4,198841,14,0,0,40,1
229,18, White, Female, 12th,a_4,b_12,c_3,d_39,e_4,162840,8,0,0,20,0
230,40, White, Male, HS-grad,a_2,b_4,c_0,d_39,e_4,193882,9,0,0,45,1
231,36, White, Female, Some-college,a_0,b_12,c_4,d_39,e_4,194630,10,0,0,40,0
232,42, White, Female, HS-grad,a_2,b_7,c_5,d_39,e_4,184837,9,7298,0,40,1
233,38, White, Male, HS-grad,a_2,b_14,c_0,d_39,e_4,168322,9,0,0,60,0
234,21, White, Female, Some-college,a_4,b_12,c_3,d_39,e_4,275190,10,0,0,20,0
235,40, White, Male, Bachelors,a_2,b_10,c_0,d_39,e_4,145441,13,0,0,40,1
236,24, White, Male, Preschool,a_4,b_5,c_1,d_26,e_4,243368,1,0,0,36,0
237,36, Black, Female, 11th,a_6,b_8,c_4,d_39,e_4,146625,7,0,0,12,0
238,48, White, Male, Assoc-voc,a_2,b_4,c_0,d_39,e_4,83444,11,0,0,43,1
239,25, White, Male, Masters,a_2,b_10,c_0,d_39,e_4,178025,14,0,0,40,0
240,30, White, Female, Assoc-voc,a_2,b_1,c_5,d_39,e_4,217296,11,0,0,35,0
241,44, White, Male, Bachelors,a_2,b_11,c_0,d_39,e_7,244974,13,0,0,44,1
242,53, White, Male, Prof-school,a_2,b_10,c_0,d_39,e_6,33304,15,0,0,38,1
243,38, White, Male, 9th,a_2,b_1,c_0,d_39,e_4,31964,5,0,0,40,0
244,44, White, Male, Assoc-acdm,a_5,b_4,c_1,d_39,e_4,152150,12,0,0,40,0
245,27, White, Male, Bachelors,a_4,b_4,c_1,d_39,e_4,175387,13,0,1876,40,0
246,50, White, Male, 9th,a_2,b_7,c_0,d_39,e_4,146310,5,0,0,40,0
247,28, White, Male, 11th,a_2,b_5,c_0,d_39,e_4,269246,7,0,0,40,0
248,45, White, Male, HS-grad,a_2,b_14,c_0,d_39,e_4,167523,9,0,2179,45,0
249,49, Asian-Pac-Islander, Male, 7th-8th,a_4,b_7,c_1,d_25,e_4,97411,4,0,0,45,0
250,37, White, Male, HS-grad,a_2,b_1,c_0,d_39,e_4,185359,9,0,0,40,0
251,42, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,98211,13,15024,0,45,1
252,38, White, Female, Some-college,a_4,b_4,c_3,d_39,e_4,193372,10,0,0,40,0
253,31, Amer-Indian-Eskimo, Male, 9th,a_4,b_3,c_3,d_39,e_4,25955,5,0,0,35,0
254,60, White, Male, 11th,a_2,b_14,c_0,d_39,e_5,90915,7,0,0,40,1
255,33, White, Female, Some-college,a_0,b_4,c_4,d_39,e_4,118500,10,0,0,40,0
256,71, White, Male, 9th,a_2,b_8,c_0,d_39,e_4,138145,5,0,0,40,0
257,37, White, Male, Some-college,a_2,b_4,c_0,d_39,e_5,342084,10,0,0,60,1
258,47, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_6,159869,9,0,0,56,1
259,31, White, Female, Bachelors,a_2,b_1,c_5,d_39,e_6,286282,13,0,0,20,0
260,64, White, Female, HS-grad,a_6,b_1,c_1,d_39,e_4,210082,9,0,0,40,0
261,57, White, Female, HS-grad,a_4,b_1,c_2,d_39,e_4,262642,9,0,0,40,0
262,41, White, Male, HS-grad,a_2,b_3,c_0,d_39,e_4,194360,9,0,1887,40,1
263,32, Black, Male, HS-grad,a_4,b_0,c_3,d_39,e_0,53042,9,0,0,40,0
264,39, White, Male, HS-grad,a_5,b_3,c_4,d_39,e_4,174330,9,0,0,40,0
265,59, White, Male, HS-grad,a_2,b_3,c_0,d_0,e_4,424468,9,0,0,40,0
266,41, White, Male, Some-college,a_0,b_11,c_1,d_39,e_2,169995,10,0,0,20,0
267,18, White, Male, Some-college,a_4,b_0,c_3,d_39,e_0,78567,10,0,0,30,0
268,63, White, Male, Bachelors,a_2,b_12,c_0,d_39,e_4,383058,13,0,1848,40,1
269,33, White, Male, Some-college,a_2,b_8,c_0,d_39,e_4,34848,10,0,0,40,0
270,43, White, Male, Bachelors,a_2,b_4,c_0,d_39,e_4,145441,13,0,0,50,1
271,35, White, Male, HS-grad,a_2,b_0,c_0,d_39,e_0,61343,9,0,0,40,0
272,20, Black, Male, HS-grad,a_4,b_8,c_3,d_39,e_4,122215,9,0,0,52,0
273,24, White, Female, Assoc-voc,a_4,b_1,c_3,d_39,e_4,218215,11,0,0,20,0
274,41, White, Female, Some-college,a_2,b_4,c_5,d_39,e_4,352812,10,0,1902,40,1
275,23, White, Female, Some-college,a_4,b_0,c_3,d_39,e_0,218415,10,0,0,10,0
276,40, White, Female, Some-college,a_5,b_8,c_4,d_39,e_4,183404,10,0,0,8,0
277,37, Black, Female, 12th,a_5,b_9,c_4,d_39,e_4,242713,8,0,0,40,0
278,47, White, Female, HS-grad,a_0,b_12,c_4,d_39,e_4,207207,9,0,0,45,0
279,47, White, Male, HS-grad,a_2,b_5,c_0,d_39,e_6,216657,9,0,0,60,0
280,38, White, Male, Bachelors,a_4,b_10,c_3,d_39,e_4,186191,13,0,0,40,0
281,42, White, Male, Some-college,a_2,b_5,c_0,d_39,e_6,166813,10,0,0,60,0
282,54, White, Male, Bachelors,a_0,b_5,c_1,d_39,e_6,28186,13,27828,0,50,1
283,19, White, Male, 9th,a_4,b_3,c_2,d_39,e_4,175081,5,0,0,60,0
284,33, White, Female, HS-grad,a_0,b_8,c_4,d_39,e_4,168030,9,0,0,32,0
285,28, White, Male, Some-college,a_4,b_4,c_1,d_39,e_5,114053,10,0,0,30,0
286,52, White, Male, Masters,a_2,b_4,c_0,d_39,e_5,89041,14,15024,0,60,1
287,43, White, Female, HS-grad,a_5,b_8,c_1,d_39,e_4,270522,9,0,0,26,0
